Actual Labels,Predicted Labels,Decision Values
0,1,0.5664557525807525
10626,0,0.1751089604839605
129,0,0.23863211788211788
32,0,0.35590473415473417
17,1,0.5148140309982414
1,1,0.7789504800754802
206,1,0.5860136705399863
294,0,0.34162945387945387
60,1,0.6126003996003998
1046,0,0.26744189217215525
19,0,0.4666538934921287
472,0,0.3952463239375003
925,0,0.2005302760105392
23,1,0.5323045426795427
5,1,0.7888618440383145
66,0,0.2861524766083589
80,1,0.7738797313797312
1,0,0.2512612673274438
2,1,0.6441816239316239
2,1,0.8435250721500718
3,0,0.3905744898376477
123,0,0.37071531246531236
22,0,0.4134464146964148
125,0,0.47099094941006725
38,1,0.5966485458985459
12,1,0.8247414668664669
42,1,0.5356159159467984
496,0,0.4461485736485736
15,0,0.4422058341984812
5,1,0.6927205900824326
1792,0,0.31414434542066116
11,0,0.38075587321175575
4,1,0.789880466755467
377,0,0.38754154179154177
29,1,0.8108128260628265
1,1,0.6493682608241435
0,0,0.035394736842105264
1,1,0.6498072483072483
0,1,0.5756983514851162
3,1,0.6789811316134844
26,1,0.5600447052947051
11,1,0.7529772347535504
23,1,0.620980810855811
663,0,0.3469440763914448
67,0,0.41475421070157914
4685,0,0.2503886300747756
64,0,0.4238499417249417
6,1,0.6843347770650402
1511,0,0.24540179630311207
9,1,0.7428434620934621
2,1,0.6089005716505718
0,0,0.0783091908091908
860,0,0.3273614448417079
3,1,0.6791649518781872
0,0,0.15211548255665902
751,0,0.26041423853923845
2313,0,0.26292922355422355
721,0,0.4042653260911774
81,1,0.6751438245277254
393,0,0.35445829828066655
15,0,0.49379606504606494
0,0,0.41533648867472406
51,0,0.25918413603939916
6,1,0.6895668300997247
681,0,0.2262559669862301
15,0,0.48064022089022074
6457,0,0.13132330169830167
846,0,0.3699001423842755
0,0,0.02770945720945721
19,0,0.49262537608590246
0,1,0.6330928048559629
5,1,0.5552004392666157
378,0,0.27161731397257716
1564,0,0.2336795704295704
17,1,0.6946919746919749
309,0,0.39086928349428346
112,1,0.5370682275241098
5,0,0.497043512043512
402,0,0.4924272851331674
11,1,0.5629532828282828
276,0,0.24822211122211127
1,0,0.2825146520146519
0,1,0.7153590992340989
11,0,0.46161891032943664
49,1,0.601803488178488
511,1,0.6996920024420024
1984,0,0.3295576474608983
13,1,0.620758899597135
39,1,0.6524378790713931
7,1,0.5632630980130979
0,1,0.7171046690237864
0,0,0.16991572316572312
0,0,0.34031854256854255
14,1,0.6665590771457641
0,0,0.31020246420246417
1974,0,0.228620768851032
73,1,0.578162198912199
13,1,0.7392484794617147
8,1,0.6918885836385833
0,0,0.18990383227883226
0,1,0.6986066294816294
465,0,0.3064326784326785
80,1,0.5766384872437502
0,1,0.5669676477203567
520,0,0.47451253485077005
1,1,0.5581769203019202
